t	x_inner	y_inner	v_inner	theta_inner	omega_inner	x_outer	y_outer	v_outer	theta_outer	omega_outer
2.210541667	-29.540289	137.3789232	1	6.071382566002338	1	-53.25240678	262.7239408	1	6.0832012936109985	1
2.218883333	-31.78677886	137.3789232	269.3094952495179	6.05580634782875	-1.8672790511617665	-54.21041043	262.6024407	115.76555822383916	6.079609697503445	-0.4305610063449881
2.227225	-32.91002379	137.3789232	134.65473148233096	6.048059647042924	-0.9286753817703346	-55.49734311	262.5254422	154.5535289032937	6.074854575561892	-0.570044565618987
2.235566667	-35.15651365	137.3789232	269.30946296464845	6.032652937241216	-1.846958144182457	-57.23582583	262.4768447	208.49092081618002	6.068485737579552	-0.7634970303105435
2.243908333	-36.84138104	136.2556782	242.75230267896166	6.019115422765654	-1.6228789879099057	-59.09021101	261.7576584	238.43712730312646	6.061162863578581	-0.8778670832627015
2.25225	-40.7727383	134.0091884	542.8105730710078	5.987830981535354	-3.750382415205341	-60.82931307	261.3613486	213.82853962380528	6.0545158810919295	-0.796841025498963
2.260591667	-30.66353393	137.3789232	1277.4469479867369	6.063580918867335	9.08091120539606	-61.46137484	261.319588	75.93684072371106	6.052187420248169	-0.2791361539319255
2.268933333	-36.84138104	135.6940558	767.6501701527765	6.018072867665704	-5.455511069566945	-63.34321291	260.7609124	235.32664676330793	6.044884191662592	-0.8755119883218003
2.277275	-35.71813611	135.6940558	134.65473148233096	6.025798363647416	0.9261333474127541	-64.99756039	260.4147251	202.6190721803945	6.038590217035145	-0.7545224027101113
2.285616667	-35.71813611	135.6940558	0.0	6.025798363647416	0.0	-67.0711768	259.8582929	257.37961451679195	6.030591444505232	-0.9588937714622741
2.293958333	-40.21111583	134.0091884	575.2453342258275	5.9916712855804874	-4.091158536787465	-68.85041192	259.0110735	236.24168287633685	6.023373219715908	-0.8653217222224204
2.3023	-41.33436076	134.0091884	134.6547314823318	5.983999630808034	-0.9196788570502163	-70.77038289	258.6097478	235.14083014662197	6.016068046438149	-0.8757450132880003
2.310641667	-43.01922816	133.4475659	212.90782649673287	5.971335778820289	-1.5181440337698322	-71.68100951	258.3732422	112.78774208671797	6.01255947903089	-0.42060746458218806
2.318983333	-44.70409555	131.7626985	285.6458554932912	5.956094735700136	-1.8270982223639434	-74.87304581	257.1398928	410.23264907255174	5.999843167813535	-1.524433035002307
2.327325	-46.95058541	130.0778311	336.6368290654508	5.9367958298044785	-2.3135550598767076	-76.98886738	256.578226	262.4298803102319	5.991673450267645	-0.9793866796516381
2.335666667	-52.00518759	126.7080963	728.2568084313137	5.893717421380319	-5.164244559769726	-79.13789989	255.4913472	288.70074438540456	5.98280968070039	-1.0625897158511934
2.344008333	-52.00518759	126.7080963	0.0	5.893717421380319	0.0	-81.81003993	254.7093859	333.7708210995813	5.972403513848475	-1.2474926293997926
2.35235	-55.37492238	124.4616065	485.5045348535284	5.864567526431485	-3.4944927613190706	-83.6206262	253.4876211	261.8476969657082	5.964545504341391	-0.9420190840852155
2.360691667	-55.93654485	123.899984	95.21527714072626	5.8591134953576605	-0.6538298728329139	-85.61999917	252.4935795	267.67409627995073	5.956255799928555	-0.9937707190703944
2.369033333	-59.8679021	127.2697188	620.7277163810817	5.843495386750112	-1.8723008818081561	-88.39099911	250.963827	379.44633440404135	5.944546466441042	-1.40371641438452
2.377375	-63.03421686	126.0174485	408.186599923374	5.819375875844212	-2.891449743306713	-91.05567279	249.2038174	382.83109178990577	5.932869566248873	-1.3998281389282872
2.385716667	-66.25270712	124.3411112	435.03082033534616	5.793619725628961	-3.087650252071965	-93.17716088	247.3491027	337.8126846932402	5.922922390453423	-1.1924685791760032
2.394058333	-70.17364302	121.8405948	557.4918486194167	5.760640128554456	-3.9535983668616788	-95.26035207	245.534313	331.2066299670259	5.9130910105270935	-1.1785870983482136
2.4024	-74.07899048	119.9241702	521.5049842522083	5.729841612402075	-3.6921296609394916	-97.72487335	243.193433	407.4792707282952	5.901093644488542	-1.4382456214748334
2.410741667	-77.97493135	116.581473	615.3947344632414	5.693676165984289	-4.335517878834841	-99.54265677	240.5486259	384.7262977273406	5.8908263713362485	-1.2308418871544125
2.419083333	-82.0707971	113.4870025	615.3934547483375	5.657075343783326	-4.387711303828568	-102.8465882	237.1669556	566.7637492501785	5.8740139643412554	-2.0154735271098967
2.427425	-86.14104786	110.1277366	632.6627914067577	5.619397541313959	-4.516819296354995	-104.7636876	233.7665214	467.9660118531803	5.861866557486168	-1.456232531829349
2.435766667	-91.55805945	106.6932128	768.9164064100655	5.573982628031825	-5.4443450310511	-106.8395484	229.9473188	521.1064165631593	5.848235024599971	-1.634149731246418
2.444108333	-95.98755942	102.2924846	748.525218248685	5.529574515484256	-5.32365028131907	-109.1640842	225.4957979	602.0263252910478	5.832332781053391	-1.9063630150836004
2.45245	-100.0797364	97.39390214	765.1885162702474	5.484187006144388	-5.441059843298674	-111.3833922	220.3557534	671.1721983593694	5.815170666935684	-2.057396215613442
2.460791667	-104.6115448	92.58637315	792.0222761616532	5.436882346229954	-5.670888074821522	-113.7073066	214.7216376	730.6182988783213	5.796172785828912	-2.2774681735403144
2.469133333	-109.6553355	86.65054888	933.7872165407342	5.381130749584619	-6.683508623497571	-115.7840713	208.5458557	781.0927224997971	5.77636069631639	-2.3750758556531006
2.477475	-113.7373324	80.68341133	866.7044573442869	5.329385015843899	-6.20328451623859	-117.9352506	201.4506931	888.8033706065131	5.753548039885171	-2.734783878476331
